ID,target,age,gender,bekerja,mempunyai bisnis,harta warisan,punya motor,punya mobil,punya emas,punya gas 12kg,punya gas 12kg,punya laptop,punya komputer,punya microwave,histology
1,2,30,2,1,2,2,2,2,1,2,2,2,2,2,1
2,2,50,1,1,2,1,2,2,1,2,2,2,2,2,1
3,2,78,1,2,2,1,2,2,2,2,2,2,2,2,1
4,2,31,1,?,1,2,2,2,2,2,2,2,2,2,1
5,2,34,1,2,2,2,2,2,2,2,2,2,2,2,1
6,2,34,1,2,2,2,2,2,2,2,2,2,2,2,1
7,1,51,1,1,2,1,2,1,2,2,1,1,2,2,1
8,2,23,1,2,2,2,2,2,2,2,2,2,2,2,1
9,2,39,1,2,2,1,2,2,2,1,2,2,2,2,1
10,2,30,1,2,2,2,2,2,2,2,2,2,2,2,1
11,2,39,1,1,1,2,2,2,1,1,2,2,2,2,1
12,2,32,1,2,1,1,2,2,2,1,2,1,2,2,1
13,2,41,1,2,1,1,2,2,2,1,2,2,2,2,1
14,2,30,1,2,2,1,2,2,2,1,2,2,2,2,1
15,2,47,1,1,1,2,2,2,2,2,2,2,2,2,1
16,2,38,1,1,2,1,1,1,2,2,2,2,1,2,1
17,2,66,1,2,2,1,2,2,2,2,2,2,2,2,1
18,2,40,1,1,2,1,2,2,2,1,2,2,2,2,1
19,2,38,1,2,2,2,2,2,2,2,2,2,2,2,2
20,2,38,1,1,1,2,2,2,1,1,2,2,2,2,1
21,2,22,2,2,1,1,2,2,2,2,2,2,2,2,1
22,2,27,1,2,2,1,1,1,1,1,1,1,2,2,1
23,2,31,1,2,2,2,2,2,2,2,2,2,2,2,1
24,2,42,1,2,2,2,2,2,2,2,2,2,2,2,1
25,2,25,2,1,1,2,2,2,2,2,2,2,2,2,1
26,2,27,1,1,2,1,1,2,2,2,2,2,2,2,1
27,2,49,1,1,1,1,1,1,2,1,2,1,2,2,1
28,2,58,2,2,2,1,2,2,2,1,2,1,2,2,1
29,2,61,1,1,2,1,2,2,1,1,2,2,2,2,1
